Participant ID,List,TagQualtrics,Valeur,Item,Condition,Presence Connecteur,Type Connecteur,Type Question
7,1,L1_8_ANS_3,5,8,NonFallacieux,non,Comme,AccordA
7,1,L1_8_ANS_4,5,8,NonFallacieux,non,Comme,AccordB
7,1,L1_9_AFC_1,2,9,Fallacieux,oui,Comme,Proportion
7,1,L1_9_AFC_2,2,9,Fallacieux,oui,Comme,Decoulement
7,1,L1_9_AFC_3,2,9,Fallacieux,oui,Comme,AccordA
7,1,L1_9_AFC_4,4,9,Fallacieux,oui,Comme,AccordB
7,1,L1_10_AFS_1,4,10,Fallacieux,non,Comme,Proportion
7,1,L1_10_AFS_2,4,10,Fallacieux,non,Comme,Decoulement
7,1,L1_10_AFS_3,5,10,Fallacieux,non,Comme,AccordA
7,1,L1_10_AFS_4,5,10,Fallacieux,non,Comme,AccordB
7,1,L1_11_ANC_1,3,11,NonFallacieux,oui,Comme,Proportion
7,1,L1_11_ANC_2,2,11,NonFallacieux,oui,Comme,Decoulement
7,1,L1_11_ANC_3,4,11,NonFallacieux,oui,Comme,AccordA
7,1,L1_11_ANC_4,5,11,NonFallacieux,oui,Comme,AccordB
7,1,L1_12_ANS_1,1,12,NonFallacieux,non,Comme,Proportion
7,1,L1_12_ANS_2,2,12,NonFallacieux,non,Comme,Decoulement
7,1,L1_12_ANS_3,1,12,NonFallacieux,non,Comme,AccordA
7,1,L1_12_ANS_4,4,12,NonFallacieux,non,Comme,AccordB
7,1,L1_13_AFC_1,2,13,Fallacieux,oui,Comme,Proportion
7,1,L1_13_AFC_2,2,13,Fallacieux,oui,Comme,Decoulement
7,1,L1_13_AFC_3,2,13,Fallacieux,oui,Comme,AccordA
7,1,L1_13_AFC_4,6,13,Fallacieux,oui,Comme,AccordB
7,1,L1_14_AFS_1,4,14,Fallacieux,non,Comme,Proportion
7,1,L1_14_AFS_2,4,14,Fallacieux,non,Comme,Decoulement
7,1,L1_14_AFS_3,5,14,Fallacieux,non,Comme,AccordA
7,1,L1_14_AFS_4,5,14,Fallacieux,non,Comme,AccordB
7,1,L1_15_ANC_1,1,15,NonFallacieux,oui,Comme,Proportion
7,1,L1_15_ANC_2,1,15,NonFallacieux,oui,Comme,Decoulement
7,1,L1_15_ANC_3,1,15,NonFallacieux,oui,Comme,AccordA
7,1,L1_15_ANC_4,1,15,NonFallacieux,oui,Comme,AccordB
7,1,L1_16_ANS_1,3,16,NonFallacieux,non,Comme,Proportion
7,1,L1_16_ANS_2,3,16,NonFallacieux,non,Comme,Decoulement
7,1,L1_16_ANS_3,5,16,NonFallacieux,non,Comme,AccordA
7,1,L1_16_ANS_4,6,16,NonFallacieux,non,Comme,AccordB
7,1,L1_17_AFC_1,4,17,Fallacieux,oui,Comme,Proportion
7,1,L1_17_AFC_2,4,17,Fallacieux,oui,Comme,Decoulement
7,1,L1_17_AFC_3,2,17,Fallacieux,oui,Comme,AccordA
7,1,L1_17_AFC_4,6,17,Fallacieux,oui,Comme,AccordB
7,1,L1_18_AFS_1,4,18,Fallacieux,non,Comme,Proportion
7,1,L1_18_AFS_2,4,18,Fallacieux,non,Comme,Decoulement
7,1,L1_18_AFS_3,5,18,Fallacieux,non,Comme,AccordA
7,1,L1_18_AFS_4,6,18,Fallacieux,non,Comme,AccordB
7,1,L1_19_ANC_1,5,19,NonFallacieux,oui,Comme,Proportion
7,1,L1_19_ANC_2,5,19,NonFallacieux,oui,Comme,Decoulement
7,1,L1_19_ANC_3,5,19,NonFallacieux,oui,Comme,AccordA
7,1,L1_19_ANC_4,5,19,NonFallacieux,oui,Comme,AccordB
7,1,L1_20_ANS_1,4,20,NonFallacieux,non,Comme,Proportion
7,1,L1_20_ANS_2,4,20,NonFallacieux,non,Comme,Decoulement
7,1,L1_20_ANS_3,4,20,NonFallacieux,non,Comme,AccordA
7,1,L1_20_ANS_4,4,20,NonFallacieux,non,Comme,AccordB
7,1,L1_21_AFC_1,5,21,Fallacieux,oui,Comme,Proportion
7,1,L1_21_AFC_2,5,21,Fallacieux,oui,Comme,Decoulement
7,1,L1_21_AFC_3,6,21,Fallacieux,oui,Comme,AccordA
7,1,L1_21_AFC_4,6,21,Fallacieux,oui,Comme,AccordB
7,1,L1_22_AFS_1,5,22,Fallacieux,non,Comme,Proportion
7,1,L1_22_AFS_2,5,22,Fallacieux,non,Comme,Decoulement
7,1,L1_22_AFS_3,5,22,Fallacieux,non,Comme,AccordA
7,1,L1_22_AFS_4,5,22,Fallacieux,non,Comme,AccordB
7,1,L1_23_ANC_1,5,23,NonFallacieux,oui,Comme,Proportion
7,1,L1_23_ANC_2,6,23,NonFallacieux,oui,Comme,Decoulement
7,1,L1_23_ANC_3,6,23,NonFallacieux,oui,Comme,AccordA
7,1,L1_23_ANC_4,6,23,NonFallacieux,oui,Comme,AccordB
7,1,L1_24_ANS_1,6,24,NonFallacieux,non,Comme,Proportion
7,1,L1_24_ANS_2,6,24,NonFallacieux,non,Comme,Decoulement
7,1,L1_24_ANS_3,5,24,NonFallacieux,non,Comme,AccordA
7,1,L1_24_ANS_4,5,24,NonFallacieux,non,Comme,AccordB
7,1,L1_25_AFC_1,1,25,Fallacieux,oui,Comme,Proportion
7,1,L1_25_AFC_2,1,25,Fallacieux,oui,Comme,Decoulement
7,1,L1_25_AFC_3,1,25,Fallacieux,oui,Comme,AccordA
7,1,L1_25_AFC_4,1,25,Fallacieux,oui,Comme,AccordB
7,1,L1_26_AFS_1,1,26,Fallacieux,non,Comme,Proportion
7,1,L1_26_AFS_2,1,26,Fallacieux,non,Comme,Decoulement
7,1,L1_26_AFS_3,1,26,Fallacieux,non,Comme,AccordA
7,1,L1_26_AFS_4,1,26,Fallacieux,non,Comme,AccordB
7,1,L1_27_ANC_1,2,27,NonFallacieux,oui,Comme,Proportion
7,1,L1_27_ANC_2,2,27,NonFallacieux,oui,Comme,Decoulement
7,1,L1_27_ANC_3,5,27,NonFallacieux,oui,Comme,AccordA
7,1,L1_27_ANC_4,2,27,NonFallacieux,oui,Comme,AccordB
7,1,L1_28_ANS_1,1,28,NonFallacieux,non,Comme,Proportion
7,1,L1_28_ANS_2,1,28,NonFallacieux,non,Comme,Decoulement
7,1,L1_28_ANS_3,4,28,NonFallacieux,non,Comme,AccordA
7,1,L1_28_ANS_4,6,28,NonFallacieux,non,Comme,AccordB
7,1,L1_29_AFC_1,4,29,Fallacieux,oui,Comme,Proportion
7,1,L1_29_AFC_2,2,29,Fallacieux,oui,Comme,Decoulement
7,1,L1_29_AFC_3,2,29,Fallacieux,oui,Comme,AccordA
7,1,L1_29_AFC_4,5,29,Fallacieux,oui,Comme,AccordB
7,1,L1_30_AFS_1,2,30,Fallacieux,non,Comme,Proportion
7,1,L1_30_AFS_2,2,30,Fallacieux,non,Comme,Decoulement
7,1,L1_30_AFS_3,1,30,Fallacieux,non,Comme,AccordA
7,1,L1_30_AFS_4,5,30,Fallacieux,non,Comme,AccordB
7,1,L1_31_ANC_1,4,31,NonFallacieux,oui,Comme,Proportion
7,1,L1_31_ANC_2,4,31,NonFallacieux,oui,Comme,Decoulement
7,1,L1_31_ANC_3,4,31,NonFallacieux,oui,Comme,AccordA
7,1,L1_31_ANC_4,4,31,NonFallacieux,oui,Comme,AccordB
7,1,L1_32_ANS_1,4,32,NonFallacieux,non,Comme,Proportion
7,1,L1_32_ANS_2,4,32,NonFallacieux,non,Comme,Decoulement
7,1,L1_32_ANS_3,5,32,NonFallacieux,non,Comme,AccordA
7,1,L1_32_ANS_4,5,32,NonFallacieux,non,Comme,AccordB
7,1,L1_33_AFC_1,2,33,Fallacieux,oui,Comme,Proportion
7,1,L1_33_AFC_2,2,33,Fallacieux,oui,Comme,Decoulement
7,1,L1_33_AFC_3,2,33,Fallacieux,oui,Comme,AccordA
7,1,L1_33_AFC_4,2,33,Fallacieux,oui,Comme,AccordB
7,1,L1_34_AFS_1,5,34,Fallacieux,non,Comme,Proportion
7,1,L1_34_AFS_2,5,34,Fallacieux,non,Comme,Decoulement
7,1,L1_34_AFS_3,5,34,Fallacieux,non,Comme,AccordA
7,1,L1_34_AFS_4,5,34,Fallacieux,non,Comme,AccordB
7,1,L1_35_ANC_1,4,35,NonFallacieux,oui,Comme,Proportion
7,1,L1_35_ANC_2,4,35,NonFallacieux,oui,Comme,Decoulement
7,1,L1_35_ANC_3,5,35,NonFallacieux,oui,Comme,AccordA
7,1,L1_35_ANC_4,5,35,NonFallacieux,oui,Comme,AccordB
7,1,L1_36_ANS_1,2,36,NonFallacieux,non,Comme,Proportion
7,1,L1_36_ANS_2,2,36,NonFallacieux,non,Comme,Decoulement
7,1,L1_36_ANS_3,4,36,NonFallacieux,non,Comme,AccordA
7,1,L1_36_ANS_4,4,36,NonFallacieux,non,Comme,AccordB
7,1,L1_37_AFC_1,3,37,Fallacieux,oui,Comme,Proportion
7,1,L1_37_AFC_2,3,37,Fallacieux,oui,Comme,Decoulement
7,1,L1_37_AFC_3,4,37,Fallacieux,oui,Comme,AccordA
7,1,L1_37_AFC_4,3,37,Fallacieux,oui,Comme,AccordB
7,1,L1_38_AFS_1,5,38,Fallacieux,non,Comme,Proportion
7,1,L1_38_AFS_2,5,38,Fallacieux,non,Comme,Decoulement
7,1,L1_38_AFS_3,5,38,Fallacieux,non,Comme,AccordA
7,1,L1_38_AFS_4,5,38,Fallacieux,non,Comme,AccordB
7,1,L1_39_ANC_1,4,39,NonFallacieux,oui,Comme,Proportion
7,1,L1_39_ANC_2,4,39,NonFallacieux,oui,Comme,Decoulement
7,1,L1_39_ANC_3,5,39,NonFallacieux,oui,Comme,AccordA
7,1,L1_39_ANC_4,5,39,NonFallacieux,oui,Comme,AccordB
7,1,L1_40_ANS_1,3,40,NonFallacieux,non,Comme,Proportion
7,1,L1_40_ANS_2,4,40,NonFallacieux,non,Comme,Decoulement
7,1,L1_40_ANS_3,6,40,NonFallacieux,non,Comme,AccordA
7,1,L1_40_ANS_4,6,40,NonFallacieux,non,Comme,AccordB
8,1,Q1_Sexe,1,,,,,Q1.1_Sexe
8,1,Q1_Sexe_3_TEXT,,,,,,Q1.2_Sexe_3_TEXT
8,1,Q2_Age,24,,,,,Q2_Age
8,1,Q3_Langue,2,,,,,Q3.1_Langue
8,1,Q3_Langue_3_TEXT,,,,,,Q3.2_Langue
8,1,Q5_Lieu,France,,,,,Q5_Lieu
8,1,Q6_Prolific,5c75c0b13348af0001919592,,,,,Q6_Prolific
8,1,L1_1_AFC_1,2,1,Fallacieux,oui,Comme,Proportion
8,1,L1_1_AFC_2,3,1,Fallacieux,oui,Comme,Decoulement
8,1,L1_1_AFC_3,4,1,Fallacieux,oui,Comme,AccordA
8,1,L1_1_AFC_4,4,1,Fallacieux,oui,Comme,AccordB
8,1,L1_2_AFS_1,4,2,Fallacieux,non,Comme,Proportion
8,1,L1_2_AFS_2,3,2,Fallacieux,non,Comme,Decoulement
8,1,L1_2_AFS_3,5,2,Fallacieux,non,Comme,AccordA
8,1,L1_2_AFS_4,5,2,Fallacieux,non,Comme,AccordB
8,1,L1_3_ANC_1,5,3,NonFallacieux,oui,Comme,Proportion
8,1,L1_3_ANC_2,4,3,NonFallacieux,oui,Comme,Decoulement
8,1,L1_3_ANC_3,5,3,NonFallacieux,oui,Comme,AccordA
8,1,L1_3_ANC_4,3,3,NonFallacieux,oui,Comme,AccordB
8,1,L1_4_ANS_1,4,4,NonFallacieux,non,Comme,Proportion
8,1,L1_4_ANS_2,5,4,NonFallacieux,non,Comme,Decoulement
8,1,L1_4_ANS_3,5,4,NonFallacieux,non,Comme,AccordA
8,1,L1_4_ANS_4,5,4,NonFallacieux,non,Comme,AccordB
8,1,L1_5_AFC_1,4,5,Fallacieux,oui,Comme,Proportion
8,1,L1_5_AFC_2,4,5,Fallacieux,oui,Comme,Decoulement
8,1,L1_5_AFC_3,5,5,Fallacieux,oui,Comme,AccordA
8,1,L1_5_AFC_4,5,5,Fallacieux,oui,Comme,AccordB
8,1,L1_6_AFS_1,4,6,Fallacieux,non,Comme,Proportion
8,1,L1_6_AFS_2,5,6,Fallacieux,non,Comme,Decoulement
8,1,L1_6_AFS_3,5,6,Fallacieux,non,Comme,AccordA
8,1,L1_6_AFS_4,5,6,Fallacieux,non,Comme,AccordB
8,1,L1_7_ANC_1,4,7,NonFallacieux,oui,Comme,Proportion
8,1,L1_7_ANC_2,3,7,NonFallacieux,oui,Comme,Decoulement
8,1,L1_7_ANC_3,4,7,NonFallacieux,oui,Comme,AccordA
8,1,L1_7_ANC_4,4,7,NonFallacieux,oui,Comme,AccordB
8,1,L1_8_ANS_1,4,8,NonFallacieux,non,Comme,Proportion
8,1,L1_8_ANS_2,4,8,NonFallacieux,non,Comme,Decoulement
8,1,L1_8_ANS_3,4,8,NonFallacieux,non,Comme,AccordA
8,1,L1_8_ANS_4,4,8,NonFallacieux,non,Comme,AccordB
8,1,L1_9_AFC_1,4,9,Fallacieux,oui,Comme,Proportion
8,1,L1_9_AFC_2,5,9,Fallacieux,oui,Comme,Decoulement
8,1,L1_9_AFC_3,4,9,Fallacieux,oui,Comme,AccordA
8,1,L1_9_AFC_4,4,9,Fallacieux,oui,Comme,AccordB
8,1,L1_10_AFS_1,4,10,Fallacieux,non,Comme,Proportion
8,1,L1_10_AFS_2,3,10,Fallacieux,non,Comme,Decoulement
8,1,L1_10_AFS_3,5,10,Fallacieux,non,Comme,AccordA
8,1,L1_10_AFS_4,5,10,Fallacieux,non,Comme,AccordB
8,1,L1_11_ANC_1,5,11,NonFallacieux,oui,Comme,Proportion
8,1,L1_11_ANC_2,5,11,NonFallacieux,oui,Comme,Decoulement
8,1,L1_11_ANC_3,4,11,NonFallacieux,oui,Comme,AccordA
8,1,L1_11_ANC_4,5,11,NonFallacieux,oui,Comme,AccordB
8,1,L1_12_ANS_1,4,12,NonFallacieux,non,Comme,Proportion
8,1,L1_12_ANS_2,3,12,NonFallacieux,non,Comme,Decoulement
8,1,L1_12_ANS_3,5,12,NonFallacieux,non,Comme,AccordA
8,1,L1_12_ANS_4,5,12,NonFallacieux,non,Comme,AccordB
8,1,L1_13_AFC_1,1,13,Fallacieux,oui,Comme,Proportion
8,1,L1_13_AFC_2,2,13,Fallacieux,oui,Comme,Decoulement
8,1,L1_13_AFC_3,1,13,Fallacieux,oui,Comme,AccordA
8,1,L1_13_AFC_4,6,13,Fallacieux,oui,Comme,AccordB
8,1,L1_14_AFS_1,4,14,Fallacieux,non,Comme,Proportion
8,1,L1_14_AFS_2,5,14,Fallacieux,non,Comme,Decoulement
8,1,L1_14_AFS_3,5,14,Fallacieux,non,Comme,AccordA
8,1,L1_14_AFS_4,1,14,Fallacieux,non,Comme,AccordB
8,1,L1_15_ANC_1,4,15,NonFallacieux,oui,Comme,Proportion
8,1,L1_15_ANC_2,4,15,NonFallacieux,oui,Comme,Decoulement
8,1,L1_15_ANC_3,3,15,NonFallacieux,oui,Comme,AccordA
8,1,L1_15_ANC_4,5,15,NonFallacieux,oui,Comme,AccordB
8,1,L1_16_ANS_1,5,16,NonFallacieux,non,Comme,Proportion
8,1,L1_16_ANS_2,5,16,NonFallacieux,non,Comme,Decoulement
8,1,L1_16_ANS_3,5,16,NonFallacieux,non,Comme,AccordA
8,1,L1_16_ANS_4,5,16,NonFallacieux,non,Comme,AccordB
8,1,L1_17_AFC_1,3,17,Fallacieux,oui,Comme,Proportion
8,1,L1_17_AFC_2,3,17,Fallacieux,oui,Comme,Decoulement
8,1,L1_17_AFC_3,1,17,Fallacieux,oui,Comme,AccordA
8,1,L1_17_AFC_4,5,17,Fallacieux,oui,Comme,AccordB
8,1,L1_18_AFS_1,1,18,Fallacieux,non,Comme,Proportion
8,1,L1_18_AFS_2,3,18,Fallacieux,non,Comme,Decoulement
8,1,L1_18_AFS_3,1,18,Fallacieux,non,Comme,AccordA
8,1,L1_18_AFS_4,6,18,Fallacieux,non,Comme,AccordB
8,1,L1_19_ANC_1,5,19,NonFallacieux,oui,Comme,Proportion
8,1,L1_19_ANC_2,5,19,NonFallacieux,oui,Comme,Decoulement
8,1,L1_19_ANC_3,5,19,NonFallacieux,oui,Comme,AccordA
8,1,L1_19_ANC_4,5,19,NonFallacieux,oui,Comme,AccordB
8,1,L1_20_ANS_1,4,20,NonFallacieux,non,Comme,Proportion
8,1,L1_20_ANS_2,3,20,NonFallacieux,non,Comme,Decoulement
8,1,L1_20_ANS_3,4,20,NonFallacieux,non,Comme,AccordA
8,1,L1_20_ANS_4,4,20,NonFallacieux,non,Comme,AccordB
8,1,L1_21_AFC_1,3,21,Fallacieux,oui,Comme,Proportion
8,1,L1_21_AFC_2,4,21,Fallacieux,oui,Comme,Decoulement
8,1,L1_21_AFC_3,4,21,Fallacieux,oui,Comme,AccordA
8,1,L1_21_AFC_4,5,21,Fallacieux,oui,Comme,AccordB
8,1,L1_22_AFS_1,4,22,Fallacieux,non,Comme,Proportion
8,1,L1_22_AFS_2,4,22,Fallacieux,non,Comme,Decoulement
8,1,L1_22_AFS_3,5,22,Fallacieux,non,Comme,AccordA
8,1,L1_22_AFS_4,5,22,Fallacieux,non,Comme,AccordB
8,1,L1_23_ANC_1,3,23,NonFallacieux,oui,Comme,Proportion
8,1,L1_23_ANC_2,3,23,NonFallacieux,oui,Comme,Decoulement
8,1,L1_23_ANC_3,1,23,NonFallacieux,oui,Comme,AccordA
8,1,L1_23_ANC_4,4,23,NonFallacieux,oui,Comme,AccordB
8,1,L1_24_ANS_1,4,24,NonFallacieux,non,Comme,Proportion
8,1,L1_24_ANS_2,4,24,NonFallacieux,non,Comme,Decoulement
8,1,L1_24_ANS_3,5,24,NonFallacieux,non,Comme,AccordA
8,1,L1_24_ANS_4,5,24,NonFallacieux,non,Comme,AccordB
8,1,L1_25_AFC_1,4,25,Fallacieux,oui,Comme,Proportion
8,1,L1_25_AFC_2,2,25,Fallacieux,oui,Comme,Decoulement
8,1,L1_25_AFC_3,4,25,Fallacieux,oui,Comme,AccordA
8,1,L1_25_AFC_4,4,25,Fallacieux,oui,Comme,AccordB
8,1,L1_26_AFS_1,3,26,Fallacieux,non,Comme,Proportion
8,1,L1_26_AFS_2,4,26,Fallacieux,non,Comme,Decoulement
8,1,L1_26_AFS_3,5,26,Fallacieux,non,Comme,AccordA
8,1,L1_26_AFS_4,3,26,Fallacieux,non,Comme,AccordB
8,1,L1_27_ANC_1,4,27,NonFallacieux,oui,Comme,Proportion
8,1,L1_27_ANC_2,3,27,NonFallacieux,oui,Comme,Decoulement
8,1,L1_27_ANC_3,6,27,NonFallacieux,oui,Comme,AccordA
8,1,L1_27_ANC_4,6,27,NonFallacieux,oui,Comme,AccordB
8,1,L1_28_ANS_1,4,28,NonFallacieux,non,Comme,Proportion
8,1,L1_28_ANS_2,4,28,NonFallacieux,non,Comme,Decoulement
8,1,L1_28_ANS_3,6,28,NonFallacieux,non,Comme,AccordA
8,1,L1_28_ANS_4,6,28,NonFallacieux,non,Comme,AccordB
8,1,L1_29_AFC_1,4,29,Fallacieux,oui,Comme,Proportion
8,1,L1_29_AFC_2,4,29,Fallacieux,oui,Comme,Decoulement
8,1,L1_29_AFC_3,4,29,Fallacieux,oui,Comme,AccordA
8,1,L1_29_AFC_4,4,29,Fallacieux,oui,Comme,AccordB
8,1,L1_30_AFS_1,2,30,Fallacieux,non,Comme,Proportion
8,1,L1_30_AFS_2,2,30,Fallacieux,non,Comme,Decoulement
8,1,L1_30_AFS_3,2,30,Fallacieux,non,Comme,AccordA
8,1,L1_30_AFS_4,5,30,Fallacieux,non,Comme,AccordB
8,1,L1_31_ANC_1,4,31,NonFallacieux,oui,Comme,Proportion
8,1,L1_31_ANC_2,4,31,NonFallacieux,oui,Comme,Decoulement
8,1,L1_31_ANC_3,4,31,NonFallacieux,oui,Comme,AccordA
8,1,L1_31_ANC_4,5,31,NonFallacieux,oui,Comme,AccordB
8,1,L1_32_ANS_1,5,32,NonFallacieux,non,Comme,Proportion
8,1,L1_32_ANS_2,5,32,NonFallacieux,non,Comme,Decoulement
8,1,L1_32_ANS_3,5,32,NonFallacieux,non,Comme,AccordA
8,1,L1_32_ANS_4,5,32,NonFallacieux,non,Comme,AccordB
8,1,L1_33_AFC_1,5,33,Fallacieux,oui,Comme,Proportion
8,1,L1_33_AFC_2,5,33,Fallacieux,oui,Comme,Decoulement
8,1,L1_33_AFC_3,5,33,Fallacieux,oui,Comme,AccordA
8,1,L1_33_AFC_4,5,33,Fallacieux,oui,Comme,AccordB
8,1,L1_34_AFS_1,4,34,Fallacieux,non,Comme,Proportion
8,1,L1_34_AFS_2,4,34,Fallacieux,non,Comme,Decoulement
8,1,L1_34_AFS_3,1,34,Fallacieux,non,Comme,AccordA
8,1,L1_34_AFS_4,1,34,Fallacieux,non,Comme,AccordB
8,1,L1_35_ANC_1,1,35,NonFallacieux,oui,Comme,Proportion
8,1,L1_35_ANC_2,1,35,NonFallacieux,oui,Comme,Decoulement
8,1,L1_35_ANC_3,1,35,NonFallacieux,oui,Comme,AccordA
8,1,L1_35_ANC_4,6,35,NonFallacieux,oui,Comme,AccordB
8,1,L1_36_ANS_1,5,36,NonFallacieux,non,Comme,Proportion
8,1,L1_36_ANS_2,5,36,NonFallacieux,non,Comme,Decoulement
8,1,L1_36_ANS_3,4,36,NonFallacieux,non,Comme,AccordA
8,1,L1_36_ANS_4,5,36,NonFallacieux,non,Comme,AccordB
8,1,L1_37_AFC_1,4,37,Fallacieux,oui,Comme,Proportion
8,1,L1_37_AFC_2,4,37,Fallacieux,oui,Comme,Decoulement
8,1,L1_37_AFC_3,5,37,Fallacieux,oui,Comme,AccordA
8,1,L1_37_AFC_4,5,37,Fallacieux,oui,Comme,AccordB
8,1,L1_38_AFS_1,5,38,Fallacieux,non,Comme,Proportion
8,1,L1_38_AFS_2,5,38,Fallacieux,non,Comme,Decoulement
8,1,L1_38_AFS_3,5,38,Fallacieux,non,Comme,AccordA
8,1,L1_38_AFS_4,5,38,Fallacieux,non,Comme,AccordB
8,1,L1_39_ANC_1,6,39,NonFallacieux,oui,Comme,Proportion
8,1,L1_39_ANC_2,5,39,NonFallacieux,oui,Comme,Decoulement
8,1,L1_39_ANC_3,6,39,NonFallacieux,oui,Comme,AccordA
8,1,L1_39_ANC_4,6,39,NonFallacieux,oui,Comme,AccordB
8,1,L1_40_ANS_1,4,40,NonFallacieux,non,Comme,Proportion
8,1,L1_40_ANS_2,4,40,NonFallacieux,non,Comme,Decoulement
8,1,L1_40_ANS_3,5,40,NonFallacieux,non,Comme,AccordA
8,1,L1_40_ANS_4,6,40,NonFallacieux,non,Comme,AccordB
9,1,Q1_Sexe,1,,,,,Q1.1_Sexe
9,1,Q1_Sexe_3_TEXT,,,,,,Q1.2_Sexe_3_TEXT
9,1,Q2_Age,24 ans,,,,,Q2_Age
9,1,Q3_Langue,2,,,,,Q3.1_Langue
9,1,Q3_Langue_3_TEXT,,,,,,Q3.2_Langue
9,1,Q5_Lieu,France,,,,,Q5_Lieu
9,1,Q6_Prolific,5b8ffa34cef28400010c05d9,,,,,Q6_Prolific
9,1,L1_1_AFC_1,7,1,Fallacieux,oui,Comme,Proportion
9,1,L1_1_AFC_2,4,1,Fallacieux,oui,Comme,Decoulement
9,1,L1_1_AFC_3,7,1,Fallacieux,oui,Comme,AccordA
9,1,L1_1_AFC_4,5,1,Fallacieux,oui,Comme,AccordB
9,1,L1_2_AFS_1,3,2,Fallacieux,non,Comme,Proportion
9,1,L1_2_AFS_2,3,2,Fallacieux,non,Comme,Decoulement
9,1,L1_2_AFS_3,3,2,Fallacieux,non,Comme,AccordA
9,1,L1_2_AFS_4,6,2,Fallacieux,non,Comme,AccordB
9,1,L1_3_ANC_1,4,3,NonFallacieux,oui,Comme,Proportion
9,1,L1_3_ANC_2,4,3,NonFallacieux,oui,Comme,Decoulement
9,1,L1_3_ANC_3,4,3,NonFallacieux,oui,Comme,AccordA
9,1,L1_3_ANC_4,6,3,NonFallacieux,oui,Comme,AccordB
9,1,L1_4_ANS_1,5,4,NonFallacieux,non,Comme,Proportion
9,1,L1_4_ANS_2,5,4,NonFallacieux,non,Comme,Decoulement
9,1,L1_4_ANS_3,6,4,NonFallacieux,non,Comme,AccordA
9,1,L1_4_ANS_4,6,4,NonFallacieux,non,Comme,AccordB
9,1,L1_5_AFC_1,4,5,Fallacieux,oui,Comme,Proportion
9,1,L1_5_AFC_2,4,5,Fallacieux,oui,Comme,Decoulement
9,1,L1_5_AFC_3,4,5,Fallacieux,oui,Comme,AccordA
9,1,L1_5_AFC_4,5,5,Fallacieux,oui,Comme,AccordB
9,1,L1_6_AFS_1,3,6,Fallacieux,non,Comme,Proportion
9,1,L1_6_AFS_2,4,6,Fallacieux,non,Comme,Decoulement
9,1,L1_6_AFS_3,4,6,Fallacieux,non,Comme,AccordA
9,1,L1_6_AFS_4,6,6,Fallacieux,non,Comme,AccordB
9,1,L1_7_ANC_1,4,7,NonFallacieux,oui,Comme,Proportion
9,1,L1_7_ANC_2,3,7,NonFallacieux,oui,Comme,Decoulement
9,1,L1_7_ANC_3,5,7,NonFallacieux,oui,Comme,AccordA
9,1,L1_7_ANC_4,5,7,NonFallacieux,oui,Comme,AccordB
9,1,L1_8_ANS_1,5,8,NonFallacieux,non,Comme,Proportion
9,1,L1_8_ANS_2,5,8,NonFallacieux,non,Comme,Decoulement
9,1,L1_8_ANS_3,5,8,NonFallacieux,non,Comme,AccordA
9,1,L1_8_ANS_4,5,8,NonFallacieux,non,Comme,AccordB
9,1,L1_9_AFC_1,2,9,Fallacieux,oui,Comme,Proportion
9,1,L1_9_AFC_2,2,9,Fallacieux,oui,Comme,Decoulement
9,1,L1_9_AFC_3,3,9,Fallacieux,oui,Comme,AccordA
9,1,L1_9_AFC_4,5,9,Fallacieux,oui,Comme,AccordB
9,1,L1_10_AFS_1,2,10,Fallacieux,non,Comme,Proportion
9,1,L1_10_AFS_2,3,10,Fallacieux,non,Comme,Decoulement
9,1,L1_10_AFS_3,2,10,Fallacieux,non,Comme,AccordA
9,1,L1_10_AFS_4,6,10,Fallacieux,non,Comme,AccordB
9,1,L1_11_ANC_1,5,11,NonFallacieux,oui,Comme,Proportion
9,1,L1_11_ANC_2,5,11,NonFallacieux,oui,Comme,Decoulement
9,1,L1_11_ANC_3,5,11,NonFallacieux,oui,Comme,AccordA
9,1,L1_11_ANC_4,6,11,NonFallacieux,oui,Comme,AccordB
9,1,L1_12_ANS_1,4,12,NonFallacieux,non,Comme,Proportion
9,1,L1_12_ANS_2,4,12,NonFallacieux,non,Comme,Decoulement
9,1,L1_12_ANS_3,4,12,NonFallacieux,non,Comme,AccordA
9,1,L1_12_ANS_4,4,12,NonFallacieux,non,Comme,AccordB
9,1,L1_13_AFC_1,2,13,Fallacieux,oui,Comme,Proportion
9,1,L1_13_AFC_2,4,13,Fallacieux,oui,Comme,Decoulement
9,1,L1_13_AFC_3,4,13,Fallacieux,oui,Comme,AccordA
9,1,L1_13_AFC_4,6,13,Fallacieux,oui,Comme,AccordB
9,1,L1_14_AFS_1,7,14,Fallacieux,non,Comme,Proportion
9,1,L1_14_AFS_2,4,14,Fallacieux,non,Comme,Decoulement
9,1,L1_14_AFS_3,7,14,Fallacieux,non,Comme,AccordA
9,1,L1_14_AFS_4,7,14,Fallacieux,non,Comme,AccordB
9,1,L1_15_ANC_1,5,15,NonFallacieux,oui,Comme,Proportion
9,1,L1_15_ANC_2,5,15,NonFallacieux,oui,Comme,Decoulement
9,1,L1_15_ANC_3,4,15,NonFallacieux,oui,Comme,AccordA
9,1,L1_15_ANC_4,4,15,NonFallacieux,oui,Comme,AccordB
9,1,L1_16_ANS_1,5,16,NonFallacieux,non,Comme,Proportion
9,1,L1_16_ANS_2,5,16,NonFallacieux,non,Comme,Decoulement
